Конфигурация;Задачи;Машины;PSO_Makespan_Avg;PSO_Makespan_Min;PSO_Makespan_Max;PSO_Time_Avg;PSO_Time_Min;PSO_Time_Max;GA_Makespan;GA_Time;Победитель;Улучшение_%;Отношение_времени
1: Маленькая задача;10;2;13.0;12.999999999999998;13;7.19695;6.5319;7.862;12.9;83.5483999;GA;-0.7692307692307665;11.608862073517255
2: Средняя задача;50;5;34.26282051282051;34.14102564102564;34.38461538461539;21.68995;21.0508;22.3291;29.653846153846153;23.584;GA;-13.451824134705328;1.087323852752081
3: Большая задача;100;10;50.95975461342272;50.7714336518227;51.14807557502273;236.03669990000003;158.5316999;313.5416999;39.011663216011044;61.6196999;GA;-23.44613212533909;0.2610598264003266
4: Много зависимостей;60;6;33.91712916066257;33.259762308998305;34.57449601232683;33.46855;33.3145;33.6226;30.332600037533624;34.5828;GA;-10.568492121338851;1.0332924491799016
5: Мало памяти;40;4;36.0;35.333333333333336;36.66666666666667;20.638199999999998;20.4773;20.7991;35.166666666666664;21.2579;GA;-2.314814814814821;1.0300268434262678
6: Высокая производительность;120;12;24.043992857762575;23.44825144007749;24.63973427544766;75.01104989999999;74.4877999;75.5342999;19.1181812183768;83.4509;GA;-20.48666237976976;1.112514757642394
7: Много машин;80;15;40.16319745971171;39.387083730861846;40.93931118856157;43.645849999999996;43.2913;44.0004;30.76450962830273;46.9453;GA;-23.401243989194192;1.0755959615862678
8: Несбалансированные ресурсы;70;7;58.61320531057373;57.75770507349454;59.46870554765292;43.3602;43.0958;43.6246;35.273365231259966;47.7007999;GA;-39.82010530842492;1.100105624512802
9: Большие задачи, мало машин;90;5;62.39238095238095;61.9047619047619;62.879999999999995;53.299350000000004;53.1778;53.4209;54.41392857142856;62.4390999;GA;-12.787542740261332;1.1714795752668654
10: Смешанный сложный случай;150;15;38.54366946784954;37.2986464748368;39.78869246086227;133.29305;132.4465;134.1396;26.5542572594866;167.6906;GA;-31.106047695753713;1.2580595912540076
